Minute,Predicted,Actual,Error,Pct_Error
247,2794012.25,2792188,1824.25,0.06533406776334545
248,2792634.25,2792188,446.25,0.015982090031187012
249,2791902.0625,2792188,-285.9375,0.010240624914941258
250,2798556.1875,2798415,141.1875,0.005045266695611623
251,2800618.25,2798469,2149.25,0.07680092221854164
252,2798689.25,2798469,220.25,0.007870374837098428
253,2795889.25,2798469,-2579.75,0.09218433364814833
254,2798620.8125,2798469,151.8125,0.0054248412256844725
255,2822149.3125,2822319,-169.6875,0.006012343041307521
256,2822708.625,2822319,389.625,0.013805136839598926
257,2822804.5,2822319,485.5,0.017202166020212455
258,2821583.8125,2822319,-735.1875,0.026049057530350042
259,2822354.625,2822319,35.625,0.0012622598650258881
260,2840049.9375,2845276,-5226.0625,0.18367506350877735
261,2845938.5,2845276,662.5,0.023284208632132698
262,2844265.1875,2845276,-1010.8125,0.03552599115164926
263,2844265.1875,2845276,-1010.8125,0.03552599115164926
264,2845546.5625,2845276,270.5625,0.00950918294042476
265,2869675.5,2869838,-162.5,0.005662340522357011
266,2870328.4375,2869838,490.4375,0.017089379261129023
267,2870455.1875,2869838,617.1875,0.021506004868567494
268,2868783.375,2869838,-1054.625,0.036748589990097
269,2881322.0625,2869838,11484.0625,0.40016413818480345
270,2880782.875,2880978,-195.125,0.006772873656098728
271,2881730.625,2880978,752.625,0.026123941244952237
272,2881239.1875,2880978,261.1875,0.009065931777333948
273,2881239.1875,2880978,261.1875,0.009065931777333948
274,2881153.8125,2880978,175.8125,0.006102528377516246
275,2896676.0625,2896442,234.0625,0.008081035283979448
276,2896782.3125,2896492,290.3125,0.010022900115035704
277,2898669.25,2896492,2177.25,0.0751685141888878
278,2895493.5,2896492,-998.5,0.03447273460448018
279,2890814.4375,2896492,-5677.5625,0.19601512795478118
280,2905660.75,2905807,-146.25,0.005033025249096035
281,2905814.0,2905807,7.0,0.00024089693499946828
282,2905919.625,2905807,112.625,0.0038758596149021597
283,2905919.625,2905807,112.625,0.0038758596149021597
284,2905750.875,2905807,-56.125,0.0019314772109778797
285,2917422.9375,2917660,-237.0625,0.008125089969359007
286,2918268.8125,2918416,-147.1875,0.005043403681997357
287,2918758.8125,2918416,342.8125,0.01174652619777304
288,2918758.8125,2918416,342.8125,0.01174652619777304
289,2918170.4375,2918416,-245.5625,0.008414239094083915
290,2933685.1875,2933452,233.1875,0.007949252280248661
291,2933472.625,2933452,20.625,0.0007030965565483941
292,2933520.25,2933452,68.25,0.0023266104234874133
293,2933696.6875,2933452,244.6875,0.00834128187541504
