Time,Views,Count,Minute
15:41:00,1800699,23296,224
15:42:00,1800699,0,225
15:43:00,1800699,0,226
15:44:00,1800699,0,227
15:45:00,1800699,0,228
15:46:00,1803962,3263,229
15:47:00,1803962,0,230
15:48:00,1803962,0,231
15:49:00,1803962,0,232
15:50:00,1803962,0,233
15:51:00,1852685,48723,234
15:52:00,1852685,0,235
15:53:00,1852685,0,236
15:54:00,1852685,0,237
15:55:00,1852685,0,238
15:56:00,1908069,55384,239
15:57:00,1908149,80,240
15:58:00,1908149,0,241
15:59:00,1908149,0,242
16:00:00,1908149,0,243
16:01:00,1965654,57505,244
16:02:00,1965654,0,245
16:03:00,1965654,0,246
16:04:00,1965654,0,247
16:05:00,1965654,0,248
16:06:00,2014827,49173,249
16:07:00,2014827,0,250
16:08:00,2014827,0,251
16:09:00,2014827,0,252
16:10:00,2014827,0,253
16:11:00,2074949,60122,254
16:12:00,2074949,0,255
16:13:00,2074949,0,256
16:14:00,2074949,0,257
16:15:00,2074949,0,258
16:16:00,2086777,11828,259
16:17:00,2108368,21591,260
16:18:00,2108368,0,261
16:19:00,2108368,0,262
16:20:00,2108368,0,263
16:21:00,2154138,45770,264
16:22:00,2154138,0,265
16:23:00,2154138,0,266
16:24:00,2154138,0,267
16:25:00,2154138,0,268
16:26:00,2179216,25078,269
16:26:00,2179216,0,270
16:27:00,2179216,0,271
16:28:00,2179216,0,272
16:29:00,2179216,0,273
16:30:00,2179216,0,274
16:31:00,2213285,34069,275
16:32:00,2213285,0,276
16:33:00,2213285,0,277
16:34:00,2213285,0,278
16:35:00,2213285,0,279
16:36:00,2235861,22576,280
16:37:00,2235861,0,281
16:38:00,2235861,0,282
16:39:00,2235861,0,283
16:40:00,2235861,0,284
16:41:00,2273902,38041,285
16:42:00,2273902,0,286
16:43:00,2273902,0,287
16:44:00,2273902,0,288
16:45:00,2273902,0,289
16:46:00,2291728,17826,290
16:47:00,2291730,2,291
16:48:00,2291730,0,292
16:49:00,2291730,0,293
16:50:00,2291730,0,294
16:51:00,2333386,41656,295
16:52:00,2333386,0,296
16:53:00,2333386,0,297
16:54:00,2333386,0,298
16:55:00,2333386,0,299
16:56:00,2356825,23439,300
16:57:00,2356825,0,301
16:58:00,2356825,0,302
16:59:00,2356825,0,303
17:00:00,2356825,0,304
17:01:00,2402444,45619,305
17:02:00,2402444,0,306
17:03:00,2402444,0,307
17:04:00,2402444,0,308
17:05:00,2402444,0,309
17:06:00,2436917,34473,310
17:07:00,2436917,0,311
17:08:00,2436917,0,312
17:09:00,2436917,0,313
17:10:00,2436917,0,314
